date,station,temp
2018/9/1,札幌,19.5
2018/9/1,青森,21.5
2018/9/1,仙台,21.5
2018/9/1,東京,25.9
2018/9/1,福岡,25.5
2018/9/1,鹿児島,26.8
2018/9/1,那覇,27.6
2018/9/1,波照間,27.3
2018/9/1,秋田,22.2
2018/9/1,盛岡,22.0
2018/9/1,山形,20.8
2018/9/1,福島,21.9
2018/9/1,水戸,23.7
2018/9/1,千葉,27.5
2018/9/1,宇都宮,23.2
2018/9/1,さいたま,24.8
2018/9/1,新潟,21.8
2018/9/1,前橋,24.0
2018/9/1,甲府,25.6
2018/9/1,横浜,27.7
2018/9/1,長野,20.5
2018/9/1,富山,22.6
2018/9/1,岐阜,24.2
2018/9/1,静岡,27.4
2018/9/1,名古屋,24.5
2018/9/1,金沢,23.5
2018/9/1,福井,24.0
2018/9/1,大津,24.5
2018/9/1,津,25.5
2018/9/1,京都,25.3
2018/9/1,奈良,24.5
2018/9/1,和歌山,25.9
2018/9/1,大阪,26.1
2018/9/1,神戸,26.5
2018/9/1,鳥取,23.5
2018/9/1,岡山,25.1
2018/9/1,松江,23.3
2018/9/1,広島,24.1
2018/9/1,山口,23.2
2018/9/1,松山,25.0
2018/9/1,高松,25.9
2018/9/1,徳島,26.4
2018/9/1,高知,25.0
2018/9/1,大分,24.4
2018/9/1,宮崎,26.6
2018/9/1,長崎,25.3
2018/9/1,佐賀,24.8
2018/9/1,熊本,24.8
2018/9/1,稚内,17.7
2018/9/1,函館,21.1
2018/9/2,札幌,19.0
2018/9/2,青森,21.6
2018/9/2,仙台,21.0
2018/9/2,東京,22.1
2018/9/2,福岡,27.3
2018/9/2,鹿児島,27.5
2018/9/2,那覇,28.1
2018/9/2,波照間,27.4
2018/9/2,秋田,23.1
2018/9/2,盛岡,21.2
2018/9/2,山形,21.4
2018/9/2,福島,21.4
2018/9/2,水戸,22.2
2018/9/2,千葉,23.5
2018/9/2,宇都宮,21.6
2018/9/2,さいたま,21.7
2018/9/2,新潟,23.9
2018/9/2,前橋,21.5
2018/9/2,甲府,23.2
2018/9/2,横浜,22.6
2018/9/2,長野,22.3
2018/9/2,富山,23.3
2018/9/2,岐阜,25.9
2018/9/2,静岡,25.1
2018/9/2,名古屋,25.6
2018/9/2,金沢,24.5
2018/9/2,福井,24.7
2018/9/2,大津,24.5
2018/9/2,津,25.8
2018/9/2,京都,25.6
2018/9/2,奈良,25.0
2018/9/2,和歌山,25.3
2018/9/2,大阪,26.3
2018/9/2,神戸,26.2
2018/9/2,鳥取,24.9
2018/9/2,岡山,25.5
2018/9/2,松江,24.8
2018/9/2,広島,26.3
2018/9/2,山口,26.0
2018/9/2,松山,26.0
2018/9/2,高松,25.7
2018/9/2,徳島,25.2
2018/9/2,高知,23.9
2018/9/2,大分,25.6
2018/9/2,宮崎,26.0
2018/9/2,長崎,26.6
2018/9/2,佐賀,27.3
2018/9/2,熊本,27.0
2018/9/2,稚内,18.7
2018/9/2,函館,20.2
2018/9/3,札幌,19.7
2018/9/3,青森,22.7
2018/9/3,仙台,22.4
2018/9/3,東京,23.6
2018/9/3,福岡,28.7
2018/9/3,鹿児島,28.9
2018/9/3,那覇,28.8
2018/9/3,波照間,28.2
2018/9/3,秋田,25.1
2018/9/3,盛岡,22.3
2018/9/3,山形,22.9
2018/9/3,福島,23.1
2018/9/3,水戸,23.3
2018/9/3,千葉,24.7
2018/9/3,宇都宮,23.2
2018/9/3,さいたま,23.6
2018/9/3,新潟,26.3
2018/9/3,前橋,24.0
2018/9/3,甲府,24.6
2018/9/3,横浜,24.1
2018/9/3,長野,25.3
2018/9/3,富山,26.3
2018/9/3,岐阜,26.6
2018/9/3,静岡,25.5
2018/9/3,名古屋,26.7
2018/9/3,金沢,27.6
2018/9/3,福井,28.0
2018/9/3,大津,26.5
2018/9/3,津,26.4
2018/9/3,京都,27.6
2018/9/3,奈良,26.8
2018/9/3,和歌山,27.0
2018/9/3,大阪,28.1
2018/9/3,神戸,27.9
2018/9/3,鳥取,28.5
2018/9/3,岡山,27.5
2018/9/3,松江,28.0
2018/9/3,広島,27.7
2018/9/3,山口,28.0
2018/9/3,松山,28.0
2018/9/3,高松,27.7
2018/9/3,徳島,27.1
2018/9/3,高知,26.6
2018/9/3,大分,27.8
2018/9/3,宮崎,27.0
2018/9/3,長崎,27.6
2018/9/3,佐賀,28.4
2018/9/3,熊本,28.1
2018/9/3,稚内,18.4
2018/9/3,函館,21.5
2018/9/4,札幌,23.0
2018/9/4,青森,26.3
2018/9/4,仙台,24.3
2018/9/4,東京,26.5
2018/9/4,福岡,28.0
2018/9/4,鹿児島,28.4
2018/9/4,那覇,28.6
2018/9/4,波照間,29.0
2018/9/4,秋田,26.9
2018/9/4,盛岡,24.8
2018/9/4,山形,25.2
2018/9/4,福島,26.4
2018/9/4,水戸,26.3
2018/9/4,千葉,27.8
2018/9/4,宇都宮,25.6
2018/9/4,さいたま,26.5
2018/9/4,新潟,27.4
2018/9/4,前橋,25.4
2018/9/4,甲府,24.3
2018/9/4,横浜,26.9
2018/9/4,長野,25.8
2018/9/4,富山,27.9
2018/9/4,岐阜,26.5
2018/9/4,静岡,26.3
2018/9/4,名古屋,25.8
2018/9/4,金沢,27.0
2018/9/4,福井,27.6
2018/9/4,大津,26.2
2018/9/4,津,26.7
2018/9/4,京都,27.0
2018/9/4,奈良,26.1
2018/9/4,和歌山,26.8
2018/9/4,大阪,26.9
2018/9/4,神戸,27.0
2018/9/4,鳥取,26.6
2018/9/4,岡山,26.2
2018/9/4,松江,25.5
2018/9/4,広島,27.5
2018/9/4,山口,26.8
2018/9/4,松山,25.3
2018/9/4,高松,26.7
2018/9/4,徳島,26.4
2018/9/4,高知,27.1
2018/9/4,大分,28.1
2018/9/4,宮崎,27.5
2018/9/4,長崎,26.8
2018/9/4,佐賀,27.8
2018/9/4,熊本,27.3
2018/9/4,稚内,19.5
2018/9/4,函館,21.9
2018/9/5,札幌,24.8
2018/9/5,青森,26.1
2018/9/5,仙台,26.2
2018/9/5,東京,27.6
2018/9/5,福岡,27.8
2018/9/5,鹿児島,27.5
2018/9/5,那覇,27.6
2018/9/5,波照間,28.9
2018/9/5,秋田,25.6
2018/9/5,盛岡,25.3
2018/9/5,山形,25.1
2018/9/5,福島,26.1
2018/9/5,水戸,27.2
2018/9/5,千葉,27.9
2018/9/5,宇都宮,26.3
2018/9/5,さいたま,27.8
2018/9/5,新潟,25.4
2018/9/5,前橋,26.9
2018/9/5,甲府,26.7
2018/9/5,横浜,27.2
2018/9/5,長野,24.7
2018/9/5,富山,26.4
2018/9/5,岐阜,27.5
2018/9/5,静岡,27.9
2018/9/5,名古屋,27.5
2018/9/5,金沢,26.8
2018/9/5,福井,26.0
2018/9/5,大津,26.5
2018/9/5,津,27.4
2018/9/5,京都,26.9
2018/9/5,奈良,26.4
2018/9/5,和歌山,27.3
2018/9/5,大阪,27.6
2018/9/5,神戸,27.0
2018/9/5,鳥取,25.5
2018/9/5,岡山,26.0
2018/9/5,松江,25.0
2018/9/5,広島,26.6
2018/9/5,山口,25.7
2018/9/5,松山,25.9
2018/9/5,高松,27.4
2018/9/5,徳島,26.2
2018/9/5,高知,26.5
2018/9/5,大分,26.9
2018/9/5,宮崎,27.5
2018/9/5,長崎,26.5
2018/9/5,佐賀,27.0
2018/9/5,熊本,26.5
2018/9/5,稚内,21.0
2018/9/5,函館,23.8
2018/9/6,札幌,23.3
2018/9/6,青森,25.2
2018/9/6,仙台,26.2
2018/9/6,東京,27.6
2018/9/6,福岡,26.3
2018/9/6,鹿児島,27.7
2018/9/6,那覇,28.6
2018/9/6,波照間,28.5
2018/9/6,秋田,25.5
2018/9/6,盛岡,24.6
2018/9/6,山形,25.3
2018/9/6,福島,25.9
2018/9/6,水戸,26.4
2018/9/6,千葉,28.2
2018/9/6,宇都宮,26.4
2018/9/6,さいたま,26.8
2018/9/6,新潟,25.9
2018/9/6,前橋,25.8
2018/9/6,甲府,24.4
2018/9/6,横浜,27.4
2018/9/6,長野,23.5
2018/9/6,富山,26.8
2018/9/6,岐阜,26.3
2018/9/6,静岡,27.4
2018/9/6,名古屋,26.6
2018/9/6,金沢,26.8
2018/9/6,福井,25.3
2018/9/6,大津,25.2
2018/9/6,津,25.8
2018/9/6,京都,25.8
2018/9/6,奈良,25.2
2018/9/6,和歌山,25.9
2018/9/6,大阪,27.0
2018/9/6,神戸,26.5
2018/9/6,鳥取,24.5
2018/9/6,岡山,24.2
2018/9/6,松江,24.9
2018/9/6,広島,24.5
2018/9/6,山口,24.0
2018/9/6,松山,25.8
2018/9/6,高松,26.0
2018/9/6,徳島,24.9
2018/9/6,高知,24.7
2018/9/6,大分,25.9
2018/9/6,宮崎,25.0
2018/9/6,長崎,26.9
2018/9/6,佐賀,26.6
2018/9/6,熊本,27.4
2018/9/6,稚内,20.9
2018/9/6,函館,23.2
2018/9/7,札幌,22.5
2018/9/7,青森,24.3
2018/9/7,仙台,23.9
2018/9/7,東京,27.5
2018/9/7,福岡,25.8
2018/9/7,鹿児島,26.9
2018/9/7,那覇,28.6
2018/9/7,波照間,28.2
2018/9/7,秋田,22.1
2018/9/7,盛岡,22.1
2018/9/7,山形,21.8
2018/9/7,福島,24.3
2018/9/7,水戸,26.8
2018/9/7,千葉,28.1
2018/9/7,宇都宮,26.0
2018/9/7,さいたま,26.7
2018/9/7,新潟,22.7
2018/9/7,前橋,25.3
2018/9/7,甲府,25.0
2018/9/7,横浜,27.2
2018/9/7,長野,22.5
2018/9/7,富山,24.9
2018/9/7,岐阜,26.0
2018/9/7,静岡,26.2
2018/9/7,名古屋,26.6
2018/9/7,金沢,24.8
2018/9/7,福井,25.4
2018/9/7,大津,25.2
2018/9/7,津,26.4
2018/9/7,京都,25.8
2018/9/7,奈良,26.0
2018/9/7,和歌山,27.3
2018/9/7,大阪,26.5
2018/9/7,神戸,26.1
2018/9/7,鳥取,25.6
2018/9/7,岡山,26.7
2018/9/7,松江,22.5
2018/9/7,広島,25.2
2018/9/7,山口,24.2
2018/9/7,松山,27.8
2018/9/7,高松,27.1
2018/9/7,徳島,26.7
2018/9/7,高知,25.6
2018/9/7,大分,27.8
2018/9/7,宮崎,26.6
2018/9/7,長崎,25.9
2018/9/7,佐賀,25.6
2018/9/7,熊本,26.4
2018/9/7,稚内,21.5
2018/9/7,函館,22.1
2018/9/8,札幌,21.3
2018/9/8,青森,21.8
2018/9/8,仙台,23.2
2018/9/8,東京,28.8
2018/9/8,福岡,21.8
2018/9/8,鹿児島,23.8
2018/9/8,那覇,28.0
2018/9/8,波照間,28.7
2018/9/8,秋田,21.5
2018/9/8,盛岡,20.7
2018/9/8,山形,21.6
2018/9/8,福島,23.3
2018/9/8,水戸,26.3
2018/9/8,千葉,28.9
2018/9/8,宇都宮,24.6
2018/9/8,さいたま,27.5
2018/9/8,新潟,21.6
2018/9/8,前橋,24.9
2018/9/8,甲府,26.5
2018/9/8,横浜,27.9
2018/9/8,長野,20.5
2018/9/8,富山,21.1
2018/9/8,岐阜,25.2
2018/9/8,静岡,27.4
2018/9/8,名古屋,26.2
2018/9/8,金沢,21.3
2018/9/8,福井,21.4
2018/9/8,大津,22.8
2018/9/8,津,25.3
2018/9/8,京都,23.3
2018/9/8,奈良,23.2
2018/9/8,和歌山,23.5
2018/9/8,大阪,23.2
2018/9/8,神戸,23.4
2018/9/8,鳥取,21.8
2018/9/8,岡山,21.2
2018/9/8,松江,21.8
2018/9/8,広島,21.5
2018/9/8,山口,20.9
2018/9/8,松山,21.4
2018/9/8,高松,21.8
2018/9/8,徳島,22.0
2018/9/8,高知,24.0
2018/9/8,大分,21.3
2018/9/8,宮崎,22.8
2018/9/8,長崎,21.6
2018/9/8,佐賀,21.4
2018/9/8,熊本,21.1
2018/9/8,稚内,19.2
2018/9/8,函館,20.7
2018/9/9,札幌,18.3
2018/9/9,青森,17.6
2018/9/9,仙台,18.7
2018/9/9,東京,28.3
2018/9/9,福岡,22.8
2018/9/9,鹿児島,25.3
2018/9/9,那覇,27.5
2018/9/9,波照間,26.6
2018/9/9,秋田,17.3
2018/9/9,盛岡,16.1
2018/9/9,山形,19.2
2018/9/9,福島,19.7
2018/9/9,水戸,24.8
2018/9/9,千葉,28.7
2018/9/9,宇都宮,24.4
2018/9/9,さいたま,27.0
2018/9/9,新潟,20.1
2018/9/9,前橋,25.0
2018/9/9,甲府,27.1
2018/9/9,横浜,27.9
2018/9/9,長野,19.7
2018/9/9,富山,20.1
2018/9/9,岐阜,26.6
2018/9/9,静岡,27.0
2018/9/9,名古屋,26.2
2018/9/9,金沢,20.5
2018/9/9,福井,21.5
2018/9/9,大津,24.1
2018/9/9,津,26.6
2018/9/9,京都,24.3
2018/9/9,奈良,24.4
2018/9/9,和歌山,25.2
2018/9/9,大阪,24.2
2018/9/9,神戸,24.5
2018/9/9,鳥取,20.3
2018/9/9,岡山,22.1
2018/9/9,松江,20.7
2018/9/9,広島,21.2
2018/9/9,山口,21.3
2018/9/9,松山,21.2
2018/9/9,高松,22.7
2018/9/9,徳島,23.6
2018/9/9,高知,23.3
2018/9/9,大分,21.8
2018/9/9,宮崎,22.8
2018/9/9,長崎,23.2
2018/9/9,佐賀,23.0
2018/9/9,熊本,22.3
2018/9/9,稚内,16.4
2018/9/9,函館,17.0
2018/9/10,札幌,16.0
2018/9/10,青森,16.7
2018/9/10,仙台,18.1
2018/9/10,東京,25.5
2018/9/10,福岡,23.1
2018/9/10,鹿児島,26.3
2018/9/10,那覇,27.2
2018/9/10,波照間,26.8
2018/9/10,秋田,17.0
2018/9/10,盛岡,16.0
2018/9/10,山形,19.8
2018/9/10,福島,19.1
2018/9/10,水戸,22.5
2018/9/10,千葉,25.8
2018/9/10,宇都宮,23.0
2018/9/10,さいたま,26.0
2018/9/10,新潟,20.8
2018/9/10,前橋,24.4
2018/9/10,甲府,23.7
2018/9/10,横浜,25.1
2018/9/10,長野,18.8
2018/9/10,富山,19.7
2018/9/10,岐阜,23.8
2018/9/10,静岡,24.0
2018/9/10,名古屋,23.7
2018/9/10,金沢,19.9
2018/9/10,福井,21.3
2018/9/10,大津,22.9
2018/9/10,津,23.8
2018/9/10,京都,23.1
2018/9/10,奈良,22.5
2018/9/10,和歌山,23.5
2018/9/10,大阪,23.5
2018/9/10,神戸,23.7
2018/9/10,鳥取,20.2
2018/9/10,岡山,23.2
2018/9/10,松江,19.9
2018/9/10,広島,23.2
2018/9/10,山口,22.7
2018/9/10,松山,23.3
2018/9/10,高松,23.0
2018/9/10,徳島,22.7
2018/9/10,高知,25.2
2018/9/10,大分,23.7
2018/9/10,宮崎,24.4
2018/9/10,長崎,24.4
2018/9/10,佐賀,24.0
2018/9/10,熊本,24.3
2018/9/10,稚内,13.9
2018/9/10,函館,14.6
2018/9/11,札幌,15.6
2018/9/11,青森,17.6
2018/9/11,仙台,18.9
2018/9/11,東京,21.4
2018/9/11,福岡,24.3
2018/9/11,鹿児島,26.6
2018/9/11,那覇,27.8
2018/9/11,波照間,27.2
2018/9/11,秋田,18.8
2018/9/11,盛岡,18.0
2018/9/11,山形,19.4
2018/9/11,福島,18.6
2018/9/11,水戸,20.6
2018/9/11,千葉,22.0
2018/9/11,宇都宮,21.0
2018/9/11,さいたま,21.5
2018/9/11,新潟,21.8
2018/9/11,前橋,22.1
2018/9/11,甲府,22.5
2018/9/11,横浜,22.2
2018/9/11,長野,20.2
2018/9/11,富山,21.6
2018/9/11,岐阜,23.0
2018/9/11,静岡,23.6
2018/9/11,名古屋,22.4
2018/9/11,金沢,21.9
2018/9/11,福井,23.2
2018/9/11,大津,22.9
2018/9/11,津,23.5
2018/9/11,京都,24.0
2018/9/11,奈良,23.0
2018/9/11,和歌山,24.7
2018/9/11,大阪,24.5
2018/9/11,神戸,24.8
2018/9/11,鳥取,21.1
2018/9/11,岡山,23.3
2018/9/11,松江,22.3
2018/9/11,広島,24.4
2018/9/11,山口,23.7
2018/9/11,松山,24.3
2018/9/11,高松,23.9
2018/9/11,徳島,24.0
2018/9/11,高知,24.9
2018/9/11,大分,23.6
2018/9/11,宮崎,23.7
2018/9/11,長崎,25.4
2018/9/11,佐賀,24.5
2018/9/11,熊本,25.5
2018/9/11,稚内,13.6
2018/9/11,函館,16.0
2018/9/12,札幌,16.5
2018/9/12,青森,17.6
2018/9/12,仙台,19.2
2018/9/12,東京,21.0
2018/9/12,福岡,25.6
2018/9/12,鹿児島,26.1
2018/9/12,那覇,28.7
2018/9/12,波照間,28.5
2018/9/12,秋田,19.8
2018/9/12,盛岡,17.7
2018/9/12,山形,17.7
2018/9/12,福島,18.7
2018/9/12,水戸,19.5
2018/9/12,千葉,21.3
2018/9/12,宇都宮,19.8
2018/9/12,さいたま,20.9
2018/9/12,新潟,21.5
2018/9/12,前橋,20.3
2018/9/12,甲府,20.7
2018/9/12,横浜,21.6
2018/9/12,長野,19.1
2018/9/12,富山,21.8
2018/9/12,岐阜,21.7
2018/9/12,静岡,22.1
2018/9/12,名古屋,21.3
2018/9/12,金沢,22.8
2018/9/12,福井,22.6
2018/9/12,大津,21.2
2018/9/12,津,22.8
2018/9/12,京都,22.6
2018/9/12,奈良,22.3
2018/9/12,和歌山,23.4
2018/9/12,大阪,22.2
2018/9/12,神戸,23.2
2018/9/12,鳥取,22.5
2018/9/12,岡山,22.9
2018/9/12,松江,23.2
2018/9/12,広島,23.2
2018/9/12,山口,22.7
2018/9/12,松山,23.9
2018/9/12,高松,24.3
2018/9/12,徳島,22.9
2018/9/12,高知,23.3
2018/9/12,大分,22.5
2018/9/12,宮崎,24.2
2018/9/12,長崎,25.4
2018/9/12,佐賀,24.6
2018/9/12,熊本,25.4
2018/9/12,稚内,16.2
2018/9/12,函館,17.3
2018/9/13,札幌,18.8
2018/9/13,青森,19.6
2018/9/13,仙台,20.5
2018/9/13,東京,22.4
2018/9/13,福岡,25.6
2018/9/13,鹿児島,26.9
2018/9/13,那覇,28.9
2018/9/13,波照間,28.4
2018/9/13,秋田,21.0
2018/9/13,盛岡,19.5
2018/9/13,山形,20.6
2018/9/13,福島,20.4
