station_name,latitude,longitude,altitude
稚内,45.42,141.68,3
札幌,43.06,141.33,17
函館,41.82,140.75,35
青森,40.82,140.77,3
秋田,39.72,140.10,6
盛岡,39.70,141.17,155
仙台,38.26,140.90,39
山形,38.26,140.35,153
新潟,37.89,139.02,4
福島,37.76,140.47,67
富山,36.71,137.20,9
長野,36.66,138.19,418
金沢,36.59,136.63,6
宇都宮,36.55,139.87,119
前橋,36.41,139.06,112
水戸,36.38,140.47,29
福井,36.06,136.22,9
さいたま,35.88,139.59,8
東京,35.69,139.75,25
甲府,35.67,138.55,273
千葉,35.60,140.10,3
鳥取,35.49,134.24,7
松江,35.46,133.07,17
横浜,35.44,139.65,39
岐阜,35.40,136.76,13
名古屋,35.17,136.97,51
京都,35.01,135.73,41
大津,34.99,135.91,86
静岡,34.98,138.40,14
津,34.73,136.52,3
神戸,34.70,135.21,5
岡山,34.69,133.93,5
大阪,34.68,135.52,23
奈良,34.67,135.84,102
広島,34.40,132.46,4
高松,34.32,134.05,9
和歌山,34.23,135.16,14
山口,34.16,131.46,18
徳島,34.07,134.57,2
松山,33.84,132.78,32
福岡,33.58,130.38,3
高知,33.57,133.55,1
佐賀,33.27,130.31,6
大分,33.24,131.62,5
熊本,32.81,130.71,38
長崎,32.73,129.87,27
宮崎,31.94,131.41,9
鹿児島,31.56,130.55,4
那覇,26.21,127.69,28
波照間,24.06,123.77,38
