記事番号,タイトル,URL,サマリー
0,【米国市況】Ｓ＆Ｐ500最高値、ＣＰＩ受けて不安が和らぐ－ドル下落,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WZ3JT0G1KW01?srnd=cojp-v2,10日の米株式相場は反発し、Ｓ＆Ｐ500種株価指数が最高値を更新した。米インフレ統計が市場予想に一致し、金融当局が政策引き締めペースを加速させる必要はなくなったとの観測が広がった。米国株は反発、Ｓ＆Ｐ500種が最高値－ＣＰＩは市場予想に一致米国債おおむね続伸、10年債利回り1.49％ドル下落、米ＣＰＩ発表後－主要中銀の政策決定待ちＮＹ原油は反発、週間では８月以来の大幅高－コロナ懸念後退ＮＹ金は上昇、ＣＰＩ発表後に国債利回りとドルが下げるＳ＆Ｐ500種は前日比１％高の4712.02。ダウ工業株30種平均は216.30ドル（0.6％）高の35970.99ドル。ナスダック総合指数は0.7％上昇。11
1,米消費者物価指数、前年比6.8％上昇－約40年ぶりの高い伸び率,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WIX3T1UM1001?srnd=cojp-v2,11月の米消費者物価指数（ＣＰＩ）は前年同月比で1982年以来の大きな伸びを示した。急速かつ持続的なインフレが消費者の実質所得に影響を及ぼしており、米金融当局に引き締めを求める圧力が強まりつつある状況が浮き彫りになった。キーポイント 11月の総合ＣＰＩは前年同月比6.8％上昇－前月は6.2％上昇 ブルームバーグ調査のエコノミスト予想中央値と一致 前月比では0.8％上昇－10月は0.9％上昇 市場予想0.7％上昇変動の大きい食品とエネルギーを除くコアＣＰＩは前年同月比4.9％上昇－30年ぶりの高い伸び、前月は4.6％上昇 市場予想に一致 前月比では0.5％上昇－10月は0.6％上昇 市場予想0.
2,インフレは紛れもなく存在、問題はいつまで続くか－QuickTake,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WJZOT1UM1501?srnd=cojp-v2,2021年初めには米連邦準備制度理事会（ＦＲＢ）や債券投資家が「一過性」と片付けていたインフレも、年終盤には1990年代初期以来の水準に高進。冷静を維持していたＦＲＢも軌道修正を示唆するようになった。それでも議論は終わらない。インフレは世界が平時に戻れば消えていくのか、それとも一人歩きしていくのか。１．今までの経緯新型コロナウイルス禍で記録的な景気低迷に陥った昨年序盤から１年後、多くの国ではワクチンの普及と巨額の政府支援で個人消費が上向いた。一方でサプライチェーンの回復には時間がかかり、自動車向けなどの半導体生産は需要に追いついていない。その結果、製品価格が急伸、航空料金やホテル代も跳ね上がっ
3,バイデン米大統領、インフレは「今がピーク」－今後急速に鈍化へ,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WOPWT0AFB701?srnd=cojp-v2,バイデン米大統領は10日、米国の物価上昇はすでにピークに達しており、この先は想定よりも速いペースで鈍化するとの考えを示した。この日発表された11月の米消費者物価指数（ＣＰＩ）は、前年同月比で約40年ぶりの大きな伸びを示した。米消費者物価指数、前年比6.8％上昇－約40年ぶりの高い伸び率バイデン氏はホワイトハウスで記者団に対し、「今が危機のピークだ」と発言。「この状況は大半の人が考えているよりも早期に、かつ速いペースで変わるだろう」と述べた。雇用や生産の伸びを挙げ、「米経済におけるその他の側面はどれも急進展している」と指摘。その上で、「インフレは人々の生活に影響を及ぼしている」と語った。同氏はイ
4,Ｇ７財務相、13日にインフレについて協議する計画－関係者,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WRHKT0G1L001?srnd=cojp-v2,主要７カ国（Ｇ７）財務相は13日にオンライン形式で会合を開き、最近のインフレ高進について協議する。事情に詳しい関係者が明らかにした。米消費者物価指数、前年比6.8％上昇－約40年ぶりの高い伸び率 (2)匿名を条件に語った関係者によると、会合ではヘルスケアに関する議論も予定されている。新型コロナウイルスの感染が報告されてから約２年となる中、各国が経済政策で協調する焦点が雇用の保護から、家計収入を圧迫するインフレ圧力の抑制へと移ったことをこの会議は示している。Price Pressure Energy inflation is soaring across G-7 economies Source
5,米政権が国外の石炭や石油、ガスプロジェクトへの連邦支援を停止,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WSA2T0AFB501?srnd=cojp-v2,バイデン米政権は石炭プラントなど炭素集約度の高い国外プロジェクトについて、連邦支援の即時停止を命じた。気候変動対策と世界的な再生可能エネルギーの普及加速を目指し、大きく政策をシフトさせた。広範にわたる今回の決定はこうしたプロジェクトへのあらゆる米政府支援を初めて禁じるもので、巨額の年間資金に加え、外交および技術面での援助にも影響が及ぶ可能性がある。この詳細はブルームバーグ・ニュースが入手した外交公電に記されている。同公電は先週、各国の米大使館に送信された。新たな政策にはただ、国家安全保障や外交政策上やむを得ない場合や、エネルギーへのアクセスが必要な地域への供給拡大など、重要な例外も含まれている
6,ＳＢＩの新生銀へのＴＯＢが成立、出資比率は47.77％に上昇,https://www.bloomberg.co.jp/news/articles/2021-12-11/R3VZZIT0G1KW01?srnd=cojp-v2,ＳＢＩホールディングスは11日、10日に終了した 新生銀行への株式公開買い付け（ＴＯＢ）の結果を公表した。ＴＯＢは成立し、ＳＢＩの出資比率は議決権ベースで従来の約20％から47.77％に上昇する。ＳＢＩは買い付け下限を定めていなかった。取得額は約1138億円。ＳＢＩホールディングス本社に掲げられたグループロゴ（10月19日、都内） Photographer: Kiyoshi Ota/Bloomberg発表資料によると、応募は5692万2199株で、ＳＢＩが買い付け予定数の上限としていた約5821万1300株を下回った。ＴＯＢは９月10日から12月10日まで、１株当たり2000円の買い付け価格で
7,米司法省、ヘッジファンドの空売りに対する刑事捜査開始－関係者,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WNP0T0AFBS01?srnd=cojp-v2,米司法省はヘッジファンドや調査会社による空売りについて、広範な刑事捜査を開始した。両者の共生的な関係を調べるほか、不適切な協調取引で利益を得た疑いや違法行為の有無を探る。事情に詳しい関係者が明らかにした。不正行為を取り締まる司法省の専門部門とロサンゼルスの連邦検察当局が捜査を行う。ヘッジファンドがどのようにして調査内容にアクセスし、投資を決定したのかを詳しく調べる。特に株価を動かすような調査リポートがあった場合、その発表前までの動きを重点的に捜査する。当局はヘッジファンドと調査担当者との金銭面の関係について調べるほか、資産運用者が株価の著しい下落を仕組んだ疑いや、インサイダー取引といった他の不
8,オミクロン株、ブースター接種が有症状感染70－75％防ぐ－英調査,https://www.bloomberg.co.jp/news/articles/2021-12-10/R3WTMTT0AFB801?srnd=cojp-v2,急速に感染を広げている新型コロナウイルスのオミクロン変異株について、ワクチンのブースター（追加免疫）接種で有症状感染を最高75％防げるようになると、英保健当局が暫定データを基に明らかにした。英当局はアストラゼネカ、ファイザー・ビオンテックが開発した両ワクチンの効果を調査。この暫定結果によると、２回の接種後でオミクロン株の有症状感染を防ぐ効果はデルタ株と比べてはるかに低いが、ブースターを接種すれば接種後初期には有症状感染を70－75％防げる水準に効果が高まる。イングランドではオミクロン株の感染拡大ペースがデルタ株をはるかに上回っていることを示す新たなデータもあり、今月半ばまでに新型コロナの新規感
9,ＪＰモルガン、２億ドル支払いで当局調査決着の方向へ－関係者,https://www.bloomberg.co.jp/news/articles/2021-12-11/R3XCG3T0AFB401?srnd=cojp-v2,ＪＰモルガン・チェースは、従業員のコミュニケーションの監視が不十分とする米規制当局の調査を巡り２億ドル（約227億円）前後を支払い決着を図る準備を進めている。事情に詳しい複数の関係者によると、米証券取引委員会（ＳＥＣ）および商品先物取引委員会（ＣＦＴＣ）と年内に合意に達する可能性があるが、金額は暫定的で変更もあり得る。関係者の１人は、ＳＥＣの委員らはこの問題を巡ってまだ採決を行っていないと語った。ＪＰモルガンとＣＦＴＣの担当者はコメントを控え、ＳＥＣはコメント要請にすぐに応じなかった。ウォール街の金融機関は業務に関連する従業員のコミュニケーションをしっかり監視することが求められているが、新型コ
